,text
598,<s>[INST]<<SYS>>You are an helpfull assistant. Your answers should always be in Turkish.<</SYS>>2023-YKS’ye başvuru yapacağım eğitim bilgilerim sistemde görünmüyor  eğitim bilgimi nasıl ekletebilirim ?[/INST] Eğitim bilgisi MEB e-Okul sistemi kaynaklı olan adaylardan bu bilgilerinde güncelleme gereken son sınıf öğrencileri kendi okullarına  mezun adaylar ise İlçe Milli Eğitim Müdürlüklerine başvurarak MEB e-okul sisteminde mevcut bilgilerinin güncellenmesini sağlamalıdırlar.</s>
599,<s>[INST]<<SYS>>You are an helpfull assistant. Your answers should always be in Turkish.<</SYS>>2023-YKS geç başvuru gününde oturum ekleme yapabilir miyim ?[/INST] 2023-YKS’ye ilişkin olarak 08-23 Mart 2023 tarihleri arasında yapılan başvuruda seçilmiş olan oturumlara geç başvuru gününde ekleme yapılabilir.</s>
600,<s>[INST]<<SYS>>You are an helpfull assistant. Your answers should always be in Turkish.<</SYS>>2023-YKS geç başvuru gününde daha önce seçmiş olduğum oturumları değiştirebilir miyim ?[/INST] 08-23 Mart 2023 tarihleri arasında yapılan başvuruda seçilmiş olan oturumlar geç başvuru gününde değiştirilemez ve silinemez.</s>
601,<s>[INST]<<SYS>>You are an helpfull assistant. Your answers should always be in Turkish.<</SYS>>2023-YKS başvuru süresi sona erdikten sonra sınav merkezi tercihimi değiştirebilir miyim ?[/INST] Adaylar  sınav merkezi tercihlerini  başvuru süresi içinde veya geç başvuru günlerinde ÖSYM Aday İşlemleri Sisteminden (https://ais.osym.gov.tr) kendileri güncelleyebileceklerdir. Bu süre bittikten sonra sınav merkezleri tercihlerinde değişiklik yapılamayacaktır. Merkezimize gönderilen değişiklik/düzeltme talepleri ile ilgili olarak Merkezimizce işlem yapılmayacaktır.</s>
602,<s>[INST]<<SYS>>You are an helpfull assistant. Your answers should always be in Turkish.<</SYS>>2023-YKS’de baraj puan var mı ?[/INST] Hayır. TYT puanı ile öğrenci alan yükseköğretim programlarını tercih edebilmek için TYT puanının hesaplanmış olması yeterlidir. SAY  SÖZ  EA ve DİL puan türleri ile öğrenci alan lisans programlarını tercih edebilmek için adayın ilgili puan türünde puanının hesaplanmış olması yeterlidir. Ancak bazı lisans programları için ise en düşük başarı sırası koşulunun sağlanması gerekir. Ayrıntılı bilgi 2023- YKS Kılavuzunda yer almaktadır.</s>
603,<s>[INST]<<SYS>>You are an helpfull assistant. Your answers should always be in Turkish.<</SYS>>Engelli bir bireyim. 2023-YKS’ye engelli aday olarak engelli salonunda girmek istiyorum. Ne yapmam gerekir ?[/INST] Engelli/sağlık sorunu olan adayların “Engelli Salonlarında” sınava alınabilmeleri için;  Engelli Sağlık Kurulu Raporu/Sağlık Kurulu Raporu/Çocuklar İçin Özel Gereksinim Raporunun (ÇÖZGER) onaylı bir örneğini (bir üniversite veya devlet hastanesinden alacakları)   Sağlık Durumu/Engel Bilgi Formunu (doldurulmuş olarak)   Sağlık/engel durumlarını belirten dilekçelerini   Aday Başvuru Kayıt Bilgilerinin bir fotokopisini başvuru süresi içerisinde ÖSYM Engelli Adaylar Daire Başkanlığı’na (06800 Bilkent-ANKARA) ulaştırmaları gerekmektedir.</s>
604,<s>[INST]<<SYS>>You are an helpfull assistant. Your answers should always be in Turkish.<</SYS>>Engelli/sağlık sorunu olan adaylardan istenen belgeleri başvuru merkezine bırakabilir miyim ?[/INST] İstenen belgeler doğrudan ÖSYM’ye gönderilmelidir. Başvuru merkezlerine bırakılmamalıdır.</s>
605,<s>[INST]<<SYS>>You are an helpfull assistant. Your answers should always be in Turkish.<</SYS>>Görme engelliyim  sınava okuyucu yardımı alarak gireceğim. Tüm sorulardan sorumlu muyum ?[/INST] Görme engelli adaylardan okuyucu yardımı talep eden adaylara; şekil  grafik  tablo  resim gibi görsel verilerin yer aldığı sorular ile karmaşık ifade içeren sorular sorulmaz. Sağlık sorunumdan dolayı sınavda kullanmam gereken araç gereç bulunmaktadır. Bu araç ve</s>
606,<s>[INST]<<SYS>>You are an helpfull assistant. Your answers should always be in Turkish.<</SYS>>gereçle sınava girebilir miyim ?[/INST] Sağlık/Engel Bilgi Formundaki ilgili alanları doldurarak bu formu ve istenen diğer belgeleri başvuru süresi içerisinde ÖSYM’ye ulaştıran adayların durumları incelenir  durumları uygun görülen adaylar araç ve gereçleri ile engelli salonlarında ÖSYM tarafından belirlenen şartlarda sınava girebilirler. Az gören görme engelli bir adayım. 2023-YKS’ye başvurdum. Soruları kendim okumak istiyorum</s>
607,<s>[INST]<<SYS>>You are an helpfull assistant. Your answers should always be in Turkish.<</SYS>>bu durumda bana görme problemimden dolayı sınavda ek süre verilecek mi ?[/INST] Soruları kendisi okuyabilecek durumda olan (sınavda okuyucu yardımı talep etmeyen) ancak  Engelli Sağlık Kurulu Raporlarında Görme Sistemi  Göz Hastalıkları  Görme Bozukluğu vb. oranı %25 ve üzerinde olan az gören adaylar ile Çocuklar İçin Özel Gereksinim Raporunda (ÇÖZGER) özel gereksinim düzeyi “Özel gereksinimi vardır (ÖGV)”/Özel Gereksinim Kodu “1” ve üzeri olan adaylara ek süre verilir.</s>
608,<s>[INST]<<SYS>>You are an helpfull assistant. Your answers should always be in Turkish.<</SYS>>Görme engelliyim  2023-YKS için başvurumu yaptım. Sınavda 14 punto soru kitapçığı ve 14 punto cevap kâğıdı alabilir miyim ?[/INST] Soru kitapçığını kendi okuyabilecek durumda olan görme engelli adaylara  talepleri doğrultusunda 9 ya da 14 punto yazı karakterinde yazılmış soru kitapçığı verilmekle birlikte cevap kâğıdı boyutu standarttır ve 9 puntodur. Cevap kâğıdı 9 punto olduğundan dolayı adayların cevap kâğıdı işaretleme durumlarını göz ardı etmemeleri gerekmektedir. Bu durumda bulunan adaylara talep etmeleri halinde İşaretleyici yardımı verilir.</s>
609,<s>[INST]<<SYS>>You are an helpfull assistant. Your answers should always be in Turkish.<</SYS>>Engelli/sağlık sorunu olan adayların özel hastane raporları kabul edilir mi ?[/INST] Devlet veya üniversite hastanelerinden alınan Engelli Sağlık Kurulu Raporları/Sağlık Kurulu Raporları/ÇÖZGER kabul edilmektedir. Özel Hastane raporları kabul edilmez.</s>
610,<s>[INST]<<SYS>>You are an helpfull assistant. Your answers should always be in Turkish.<</SYS>>Bedensel engelli bir adayım  2023-YKS’ye gireceğim. Bedensel engelli adaylar için sınav uygulamaları nelerdir ?[/INST] Sağlık Durumu/Engel Bilgi Formunu  Sağlık Kurulu Raporlarındaki durumlarına uygun olarak dolduran bedensel engelli adaylardan raporu Başkanlığımızca kabul edilenlerin  engelli salonlarına atamaları yapılır. İşaretleyici yardımına ihtiyacı olan bedensel engelli adaylara işaretleyici yardımı verilir.</s>
611,<s>[INST]<<SYS>>You are an helpfull assistant. Your answers should always be in Turkish.<</SYS>>Astım hastasıyım  2023-YKS’ye gireceğim. Astım ilacımla sınava girmem gerekiyor. Ne yapmalıyım ?[/INST] Astım ilacı/pompası/spreyi  ilaç (tane ile) kullanan adaylar sınav binası girişinde güvenlik görevlileri tarafından elle ve/veya dedektörle dikkatlice kontrol edilmek kaydıyla Sınava Giriş Belgesinde belirtilen bina ve salonda sınava girebileceklerdir.</s>
612,<s>[INST]<<SYS>>You are an helpfull assistant. Your answers should always be in Turkish.<</SYS>>Daha önce engelli olarak sınava girdim. Tekrar rapor göndermem gerekir mi ?[/INST] 2014 yılı ve sonrasında (EKPSS ve e-YDS hariç)  Engelli Sağlık Kurulu Raporu/Sağlık Kurulu Raporu ile ÖSYM’nin herhangi bir sınavına başvurunuz varsa ve engel durumunuzda bir değişiklik yoksa tekrar Engelli Sağlık Kurulu Raporu/Sağlık Kurulu Raporu göndermenize gerek yoktur.</s>
613,<s>[INST]<<SYS>>You are an helpfull assistant. Your answers should always be in Turkish.<</SYS>>Geçici engelim var  2023-YKS’ye gireceğim. Geçici engelli adaylar için sınav uygulamaları nelerdir ?[/INST] Geçici süreli sağlık sorunu veya hamilelik gibi özel durumu olan adayların; ilaç  ek gıda  tuvalet gibi ihtiyaçlarının karşılanmasına ve sağlık nedeniyle ihtiyaç duydukları sağlık malzemesi ile sınava alınmalarına izin verilir. Bu adaylara normal sınav süresi uygulanarak talepleri doğrultusunda işaretleyici yardımı verilir.</s>
614,<s>[INST]<<SYS>>You are an helpfull assistant. Your answers should always be in Turkish.<</SYS>>İşitme engelli bir adayım  sınava gireceğim. İşitme engelli adaylar için sınav uygulamaları nelerdir ?[/INST] İşitme engelli adaylardan işitme cihazı/biyonik kulak (koklear implant) kullananların Engelli Sağlık Kurulu Raporları/Sağlık Kurulu Raporlarında ve Sağlık Durumu/Engel Bilgi Formlarında bu durumlarının mutlaka belirtilmesi gerekmektedir. Bu bilgi  adayların Sınava Giriş Belgelerine yansıtılır. Sınava Giriş Belgelerinde işitme cihazı/biyonik kulak (koklear implant) yazılı olan adaylar bu cihazlarıyla sınav binalarına alınacaklardır ancak  cihazlar  adaylar tarafından salon görevlilerinin salonda gösterdiği yerlere sınav tamamlandıktan sonra aday tarafından alınmak üzere bırakılacaktır. Sınava Giriş Belgelerinde işitme cihazı/biyonik kulak (koklear implant) yazılı olan adaylardan bu cihazlarının sınav süresince üzerlerinde bulunmasını isteyenler ise Sağlık Durumu/Engel Bilgi Formunda ilgili alanı işaretlemeleri durumunda  sınav merkezinde ÖSYM tarafından hazırlanan her türlü kablolu-kablosuz iletişimi kesilmiş sınav salonlarında cihazları ile sınava alınırlar.</s>
615,<s>[INST]<<SYS>>You are an helpfull assistant. Your answers should always be in Turkish.<</SYS>>2023-YKS’ ye yabancı uyruklu adaylar başvuru yapabilir mi ?[/INST] Yabancı uyruklu veya hiçbir devletin uyruğunda olmayan adaylar da sınava başvurabilirler ancak bu adaylar  yükseköğretim programları tercih süreci başlamadan önce T.C. uyruğuna geçmedikleri takdirde  2023-YKS Yükseköğretim Programları ve Kontenjanları Kılavuzunda yer alacak yükseköğretim programları kontenjanlarına yerleştirilmezler. Yabancı uyrukluların Türkiye’deki yükseköğretim programlarına yerleştirme işlemleri YKS kapsamı dışında olup bu yerleştirme işlemleri  Yükseköğretim Kurulunun belirlediği usul ve esaslar doğrultusunda ilgili yükseköğretim kurumu tarafından yapılmaktadır.</s>
616,<s>[INST]<<SYS>>You are an helpfull assistant. Your answers should always be in Turkish.<</SYS>>ÖSYM tarafından hazırlanan her türlü kablolu-kablosuz iletişimi kesilmiş engelli sınav salonları nerelerde bulunmaktadır ?[/INST] ÖSYM tarafından hazırlanan her türlü kablolu-kablosuz iletişimi kesilmiş engelli sınav salonları tüm sınav merkezlerinde oluşturulmuştur.</s>
617,<s>[INST]<<SYS>>You are an helpfull assistant. Your answers should always be in Turkish.<</SYS>>2022-TYT puanım 200’ün üzerinde  2023-YKS’ye girmek zorunda mıyım ?[/INST] Evet. Bu durumdaki adayların da 2023-YKS’ye girmeleri gerekmektedir.</s>
618,<s>[INST]<<SYS>>You are an helpfull assistant. Your answers should always be in Turkish.<</SYS>>2022-TYT puanım 200’ün üzerinde  2023-YKS’ye girmeden 2022-TYT puanımla Özel Yetenek Sınavlarına başvurabilir miyim ?[/INST] Hayır. 2023 yılında sadece “Özel Yetenek Sınavı” sonuçlarına göre öğrenci alacak yükseköğretim programlarına başvurmak isteyen adayların da 2023-YKS’ye başvurularını yapmaları ve 2023-TYT’ye girmeleri gerekmektedir.</s>
619,<s>[INST]<<SYS>>You are an helpfull assistant. Your answers should always be in Turkish.<</SYS>>2022-TYT puanım 200’ün üzerinde  2023-YKS’de bu puanımı kullanabilir miyim ?[/INST] Hayır. 2022-TYT puanı 200 ve üzeri olan adaylar  2023-YKS’de bu puanlarını kullanamayacaklardır.</s>
620,<s>[INST]<<SYS>>You are an helpfull assistant. Your answers should always be in Turkish.<</SYS>>TYT  SAY  SÖZ  EA veya DİL puanlarının hesaplanmasında 150/180 baraj puanı var mı ?[/INST] Hayır. TYT  SAY  SÖZ  EA veya DİL puanlarının hesaplanmasında 150/180 baraj puanı yoktur.</s>
621,<s>[INST]<<SYS>>You are an helpfull assistant. Your answers should always be in Turkish.<</SYS>>6 Şubat 2023 tarihli depremde  afet bölgesi ilan edilen il/ilçede ikamet etmekteydim ve/veya afet bölgesi ilan edilen il/ilçede ortaöğretimin son sınıfında öğrenim görmekteydim  sınav ücretinden muaf mıyım ?[/INST] 6 Şubat 2023 tarihli depremde  afet bölgesi edilen Adana  Adıyaman  Diyarbakır  Elazığ  Gaziantep  Hatay  Kahramanmaraş  Kilis  Malatya  Osmaniye  Şanlıurfa  Sivas-Gürün il/ilçesinde ikamet etmekte olan ve/veya bu il/ilçelerde ortaöğretimin son sınıfında öğrenim görmekte olan adaylardan sınav ve başvuru hizmeti ücreti alınmayacaktır. ÖSYM adayların  Adrese Dayalı Nüfus Kayıt Sistemi’nden adres bilgilerini; Milli Eğitim Bakanlığından okul /bilgilerini kontrol etme hakkını saklı tutar.</s>
622,"<s>[INST]<<SYS>>You are an helpfull assistant. Your answers should always be in Turkish.<</SYS>>Şifremi unuttum. Telefondan bilgilerimi vererek şifre alabilir miyim?[/INST] Telefon üzerinden şifre verme uygulamamız yoktur. Şifrenizi, bulunduğunuz ildeki ÖSYM Sınav Koordinatörlüğünden ya da Sınav Koordinatörlüğü yetkisi olan Başvuru Merkezlerinden (Ortaöğretim Kurumları) alabilirsiniz.</s>"
623,<s>[INST]<<SYS>>You are an helpfull assistant. Your answers should always be in Turkish.<</SYS>>Sınava başvuru tarihlerini öğrenebilir miyim?[/INST] www.osym.gov.tr adresinden ilgili yıla ait sınav takviminden öğrenebilirsiniz.</s>
624,"<s>[INST]<<SYS>>You are an helpfull assistant. Your answers should always be in Turkish.<</SYS>>Sınava başvuru şartlarını öğrenebilir miyim?[/INST] İlgili sınavın başvuru kılavuzunu inceleyiniz. Kılavuzlar, www.osym.gov.tr adresinde yer almaktadır.</s>"
625,<s>[INST]<<SYS>>You are an helpfull assistant. Your answers should always be in Turkish.<</SYS>>Sınava ait başvuru kılavuzunu nerden edinebilirim? Kılavuzun satışı yapılıyor mu?[/INST] ÖSYM’nin İnternet sayfasından ilgili sınava ait kılavuza ulaşabilirsiniz. Başvuru kılavuzunun satışı yapılmamaktadır.</s>
626,<s>[INST]<<SYS>>You are an helpfull assistant. Your answers should always be in Turkish.<</SYS>>Başvuru ücretini öğrenebilir miyim?[/INST] İlgili sınava ait başvuru kılavuzundan bakabilirsiniz.</s>
627,"<s>[INST]<<SYS>>You are an helpfull assistant. Your answers should always be in Turkish.<</SYS>>Sınav ücretini hangi bankalardan yatırabilirim?[/INST] Sınava ait başvuru kılavuzundan, ücret yatırabileceğiniz bankaları öğrenebilirsiniz.</s>"
628,"<s>[INST]<<SYS>>You are an helpfull assistant. Your answers should always be in Turkish.<</SYS>>Sınavın kapsamı, süresi, soru sayısı, saati hakkında bilgi alabilir miyim?[/INST] Bu tür bilgilere ilgili sınava ait kılavuzdan ulaşabilirsiniz.</s>"
629,"<s>[INST]<<SYS>>You are an helpfull assistant. Your answers should always be in Turkish.<</SYS>>Soyadım değişti, bilgilerimi nasıl güncelleyebilirim?[/INST] Aday işlemleri sisteminden “kimlik bilgilerimi“ güncelle linkinden değişiklik yapabilirsiniz.</s>"
630,"<s>[INST]<<SYS>>You are an helpfull assistant. Your answers should always be in Turkish.<</SYS>>Sürekli bir engelim yok, sonradan oluştu. Sağlık raporunu ne zamana kadar gönderebilirim ve nasıl göndermem gerekir?[/INST] Sınavın yapılacağı hafta çarşamba günü saat 17.00’ye kadar ÖSYM’ye posta ya da kargoyla gönderebilirsiniz. Fax kabul edilmemektedir.</s>"
631,<s>[INST]<<SYS>>You are an helpfull assistant. Your answers should always be in Turkish.<</SYS>>Sınava hangi belgelerle gideceğim?[/INST] Nüfus cüzdanı veya süresi geçerli bir pasaportunuz ve sınav giriş belgeniz ile sınava girmeniz gerekmektedir.</s>
632,"<s>[INST]<<SYS>>You are an helpfull assistant. Your answers should always be in Turkish.<</SYS>>Başvuru merkeziyim, sistemim hata veriyor. Nasıl yardımcı olabilirsiniz?[/INST] 444 67 96 ÖSYM Çağrı Merkezinden bilgi alabilirsiniz.</s>"
633,<s>[INST]<<SYS>>You are an helpfull assistant. Your answers should always be in Turkish.<</SYS>>Sınavlarda görev almak istiyorum ne yapmalıyım?[/INST] 444 67 96 ÖSYM Çağrı Merkezinden bilgi alabilirsiniz.</s>
634,<s>[INST]<<SYS>>You are an helpfull assistant. Your answers should always be in Turkish.<</SYS>>Sınava giriş belgemi nasıl alacağım?[/INST] Aday işlemleri sisteminden sınava giriş belgenizi edinebilirsiniz.</s>
635,<s>[INST]<<SYS>>You are an helpfull assistant. Your answers should always be in Turkish.<</SYS>>Başvuru esnasında yanlışlıkla fotoğraf başkasına bilgiler başkasına ait olarak kayıt yaptık bunun düzeltilmesi mümkün mü?[/INST] 444 67 96 ÖSYM Çağrı Merkezinden bilgi alabilirsiniz.</s>
636,<s>[INST]<<SYS>>You are an helpfull assistant. Your answers should always be in Turkish.<</SYS>>Bir başkası benim adıma şifre alabilir mi?[/INST] Sınav koordinatörlükleri veya sınav koordinatörlüğü yetkisi olan başvuru merkezlerinden şahsen nüfus cüzdanınızla şifre alabilirsiniz.</s>
637,"<s>[INST]<<SYS>>You are an helpfull assistant. Your answers should always be in Turkish.<</SYS>>Başörtülü fotoğraf çektirebilir miyim?[/INST] Fotoğraf, adayın fiziksel olarak tanınmasını sağlayacak nitelikte olmalıdır. Tanınabilir bir şekilde başörtülü çektirebilirsiniz.</s>"
638,<s>[INST]<<SYS>>You are an helpfull assistant. Your answers should always be in Turkish.<</SYS>>Nüfus cüzdanımı kaybettim sınava girebilecek miyim? Ehliyetim sınava girebilmem için yeterli mi?[/INST] Güvenlik tedbirleri dolayısı ile nüfus cüzdanınız veya süresi geçerli pasaportunuz dışında bir kimlikle sınava giremezsiniz.</s>
639,<s>[INST]<<SYS>>You are an helpfull assistant. Your answers should always be in Turkish.<</SYS>>Giriş belgemde yazılı olan okul verilen adreste yok. Ne yapmalıyım?[/INST] Bu durumu İl/İlçe Sınav Merkezi Koordinatörlüğüyle görüşebilirsiniz.</s>
640,<s>[INST]<<SYS>>You are an helpfull assistant. Your answers should always be in Turkish.<</SYS>>Yurt dışında sınava girebilir miyim?[/INST] Yurt dışında sınav uygulamamız yok.</s>
641,"<s>[INST]<<SYS>>You are an helpfull assistant. Your answers should always be in Turkish.<</SYS>>İki tane lisans diplomam var KPSS ye her ikisiyle de başvuru yapabilir miyim?[/INST] 2014 yılı itibarıyla birden fazla eğitim bilgisi ekletebilir, tercihlerde de kullanabilirsiniz.</s>"
642,<s>[INST]<<SYS>>You are an helpfull assistant. Your answers should always be in Turkish.<</SYS>>Sonuçlar ne zaman açıklanacak?[/INST] ÖSYM’nin İnternet(www.osym.gov.tr) sayfasındaki duyurular ve sonuçlar kısmından takip edebilirsiniz.</s>
643,"<s>[INST]<<SYS>>You are an helpfull assistant. Your answers should always be in Turkish.<</SYS>>Cevap kâğıdıma adımı, soyadımı ya da T.C kimlik numaramı kodlamayı unuttum, ne yapabilirim?[/INST] Bu durumla ilgili, merkezimize genel amaçlı bir dilekçe gönderebilirsiniz.</s>"
644,"<s>[INST]<<SYS>>You are an helpfull assistant. Your answers should always be in Turkish.<</SYS>>Sınav esnasında hakkımda tutanak tutuldu, sınavım geçersiz olur mu?[/INST] Sonuçların açıklanmasını beklemeniz gerekmektedir.</s>"
645,"<s>[INST]<<SYS>>You are an helpfull assistant. Your answers should always be in Turkish.<</SYS>>Sınav esnasında gözetmenle sorun yaşadım. Şikâyet etmek istiyorum, nasıl yapacağım?[/INST] Merkezimize bu konuyla ilgili bir dilekçe gönderebilirsiniz.</s>"
646,<s>[INST]<<SYS>>You are an helpfull assistant. Your answers should always be in Turkish.<</SYS>>Sınav soru ve cevapları ne zaman açıklanacak?[/INST] ÖSYM’nin İnternet(www.osym.gov.tr) sayfasındaki Duyurular kısmından takip etmeniz gerekmektedir.</s>
647,<s>[INST]<<SYS>>You are an helpfull assistant. Your answers should always be in Turkish.<</SYS>>Sınav salonunda saat yoktu. Neden adaylara saat dağıtılmıyor?[/INST] Bu konuyla ilgili şikâyet ve isteklerinizi Merkezimize dilekçeyle bildirebilirsiniz.</s>
648,"<s>[INST]<<SYS>>You are an helpfull assistant. Your answers should always be in Turkish.<</SYS>>Sınav sonuç belgesi tarafımıza gönderilecek mi?[/INST] Sınav sonuç belgeleri postalanmamaktadır, ÖSYM’nin İnternet sayfasından sonuç belgesini edinebilirsiniz.</s>"
649,"<s>[INST]<<SYS>>You are an helpfull assistant. Your answers should always be in Turkish.<</SYS>>Geçmiş yıllara ait sınav sonuç belgesi almak istiyorum, ne yapmalıyım?[/INST] ÖSYM’nin İnternet sayfasındaki sonuçlar bölümünden T.C. kimlik numaranız ve şifrenizle edinebilirsiniz veya bir dilekçe ile ÖSYM’den talep edebilirsiniz. Ankara’da bir yakınınız varsa sizin adınıza evrak referans numaranızla ÖSYM’den alabilir.</s>"
650,"<s>[INST]<<SYS>>You are an helpfull assistant. Your answers should always be in Turkish.<</SYS>>Sınav puanım beklediğimden düşük geldi, ne yapabilirim?[/INST] Sınav sonucunuzun yeniden değerlendirilmesi için itiraz süresi içerisinde ÖSYM’ ye incelenme masrafları için 5 TL yatırmış olduğunuz banka dekontu ve genel amaçlı dilekçe ile başvurmanız gerekmektedir.</s>"
651,"<s>[INST]<<SYS>>You are an helpfull assistant. Your answers should always be in Turkish.<</SYS>>Okul olarak ÖSYS  için başarı sıramızı öğrenmek istiyoruz, ne yapabiliriz?[/INST] ÖSYM ‘nin İnternet sayfasında yayımlanan istatistiki bilgilere bakmanız gerekmektedir.</s>"
652,<s>[INST]<<SYS>>You are an helpfull assistant. Your answers should always be in Turkish.<</SYS>>Sınavla ilgili istatistiki bilgilere nasıl ulaşabiliriz?[/INST] ÖSYM’nin İnternet(www.osym.gov.tr)  sayfasında açıklanan istatistiki bilgilere bakabilirsiniz.</s>
653,<s>[INST]<<SYS>>You are an helpfull assistant. Your answers should always be in Turkish.<</SYS>>Geçmiş yıllarda çıkmış soruları toparlayıp kitap haline getirmek istiyoruz. İzlememiz gereken süreç nedir?[/INST] Merkezimize bu konu ile ilgili genel amaçlı dilekçe göndermeniz gerekmektedir.</s>
654,"<s>[INST]<<SYS>>You are an helpfull assistant. Your answers should always be in Turkish.<</SYS>>Sınav sonucumuza ne zamana kadar itiraz edebiliyoruz?[/INST] Sınav sonucunuza itiraz süresine, sınava ait başvuru kılavuzundan bakabilirsiniz.</s>"
655,"<s>[INST]<<SYS>>You are an helpfull assistant. Your answers should always be in Turkish.<</SYS>>Askerdeyim veya tutukluyum, şifremi nasıl alabilirim?[/INST] Tutuklu ya da zorunlu askerlik görevini yapmakta olanların, bulundukları cezaevi müdürlükleri ya da askeri birlik komutanlarının resmi yazı ile müracaat etmesi halinde, adayın ismine düzenlenmiş kapalı zarf içinde adaya iletilmek üzere şifre verilmektedir.</s>"
656,"<s>[INST]<<SYS>>You are an helpfull assistant. Your answers should always be in Turkish.<</SYS>>Şifremi unuttum, yeni şifre alamıyorum. “Sistemde güvenlik sorunuz tanımlı değildir. “ uyarısı veriyor. Ne yapabilirim?[/INST] Şifre değiştirme işlemi yaparken bir güvenlik sorusu belirlemediğinizden dolayı sistem size bu uyarıyı veriyor. Size en yakın Sınav Koordinatörlüğü yetkisi olan başvuru merkezi konumundaki bir ortaöğretim kurumundan veya sınav Koordinatörlüklerimizden şifre edinebilirsiniz.</s>"
657,"<s>[INST]<<SYS>>You are an helpfull assistant. Your answers should always be in Turkish.<</SYS>>T.C. kimlik numaramı ve şifremi yazdığım zaman aday işlemleri sistemine giriş yapamıyorum. T.C. kimlik numarası veya şifre hatası uyarısıyla karşılaşıyorum. Ne yapmalıyım?[/INST] Şifreniz yeni kurallara uygun olarak en az 8 haneli en fazla 14 haneli olmalı, en az bir büyük harf,  bir küçük harf,  bir rakam ve bir özel karakter içermelidir. Eğer şifreniz bu koşullara uymuyorsa yeni bir şifre belirleyiniz ya da şifremi unuttum kısmından yeni bir şifre oluşturunuz.</s>"
658,"<s>[INST]<<SYS>>You are an helpfull assistant. Your answers should always be in Turkish.<</SYS>>Sistemde kayıtlı olan adres bilgilerimi değiştirmek istiyorum. Bunu ne zaman ve nasıl yapmalıyım?[/INST] Adres iletişim bilgilerinde değişiklik/düzeltme olan adaylar, bu bilgilerini https://ais.osym.gov.tr İnternet adresinden kendileri değiştirebileceklerdir. Bu bilgiler, sınavın güncelleme sayfasından yapıldığı takdirde bu sınav ile ilgili işlemlere yansıtılır. Profilim sayfasından yapılan değişiklikler ilgili sınava yansıtılmaz. ÖSYM’nin https://ais.osym.gov.tr İnternet adresinden aday tarafından tüm sınav güncelleme sayfasından yapılan değişiklikler, ancak ÖSYM tarafından belirlenecek tarihlere kadar yapılabilecektir.</s>"
659,"<s>[INST]<<SYS>>You are an helpfull assistant. Your answers should always be in Turkish.<</SYS>>Aday işlemleri sisteminde fotoğrafımın süresi dolmuştur uyarısı çıkıyor nasıl ekleyebilirim? [/INST] Sistemde fotoğraflarının ""Geçerlilik Süresi Dolan"" adaylar; herhangi bir sınava başvuru süreci olmaksızın Sınav Koordinatörlüklerinden (SK) ve SK yetkisi olan başvuru merkezlerinden fotoğraflarını güncelletebilirler.</s>"
660,"<s>[INST]<<SYS>>You are an helpfull assistant. Your answers should always be in Turkish.<</SYS>>Sınav sonuçları ne zaman açıklanacak?[/INST] 2016 yılından itibaren 2016 Sınav Takviminde sınav sonuçlarının açıklanması planlanan tarihleri verilmiştir. Sınav Takvimine ÖSYM’nin İnternet sayfasından ulaşılabilir. Sınav sonuçlarının belirtilen tarihlerde açıklanması planlanmaktadır ancak, sınava ilişkin bir dava söz konusu olduğu takdirde mahkemece bir karar verildikten sonra sonuçlar açıklanacaktır. Sınav sonuçları açıklandığında web sitemizde duyurular kısmında yayınlanır.</s>"
661,"<s>[INST]<<SYS>>You are an helpfull assistant. Your answers should always be in Turkish.<</SYS>>Sınav başvuruları nasıl yapılmaktadır? [/INST] İlgili sınava ait kılavuza veya temel ilke ve kurallar bilgisine ÖSYM’nin İnternet sayfasından ulaşılabilir. Burada yazan bilgiler doğrultusunda işlem yapılmalıdır. Sınav başvurularımız için önce başvuru yapılır, daha sonra ücret yatırılır.(EYDS Sınavı hariç)</s>"
